Years_Experience,Monthly_Salary_KES
0.2,37900.0
0.2,35900.0
0.2,25100.0
0.2,20400.0
0.2,34800.0
0.2,17000.0
0.3,23200.0
0.3,40700.0
0.3,59200.0
0.4,47000.0
0.4,33500.0
0.5,47500.0
0.5,40900.0
0.6,13900.0
0.6,36300.0
0.7,39400.0
0.7,44600.0
0.7,41200.0
0.8,59500.0
0.8,33700.0
0.8,33200.0
0.9,44800.0
0.9,13500.0
0.9,12800.0
1.0,15700.0
1.2,60900.0
1.3,47100.0
1.3,64100.0
1.4,55500.0
1.4,47200.0
1.5,26200.0
1.5,24900.0
1.5,22800.0
1.6,40100.0
1.8,27400.0
1.8,56400.0
1.8,18000.0
1.9,25800.0
2.0,15100.0
2.3,57500.0
2.3,65000.0
2.4,70000.0
2.7,74600.0
2.9,104300.0
2.9,83200.0
3.0,76800.0
3.1,89700.0
3.2,75800.0
3.6,87700.0
3.6,100300.0
3.7,78200.0
3.7,96900.0
3.7,90000.0
3.8,76300.0
4.3,105000.0
4.6,95300.0
4.9,109100.0
4.9,101100.0
5.2,244700.0
5.3,119100.0
5.9,172800.0
5.9,160200.0
6.0,175900.0
6.2,163800.0
6.5,171600.0
6.6,171600.0
6.8,142800.0
7.1,164200.0
7.1,170300.0
8.0,224600.0
9.0,224800.0
9.6,220500.0
10.2,202400.0
11.2,213900.0
11.9,223700.0
12.0,222900.0
13.5,258100.0
14.0,249800.0
14.0,317200.0
17.3,339700.0
